zipcode,percentage_asian,percentage_black,percentage_two_or_more,percentage_white,percentage_other
11542,0.03636429293658818,0.06637295969955222,0.03112812364581829,0.6443377148634984,0.21916076845298282
11547,0.06766917293233082,0.0,0.0,0.9035087719298246,0.02756892230576441
11545,0.07223012486170381,0.00995732574679943,0.021890311363995576,0.8843843843843844,0.011458827248300933
11548,0.12451696006869901,0.11335337054529841,0.051524259338772006,0.6882782310004294,0.021897810218978103
11549,0.0872540633019675,0.12874251497005987,0.07271171941830624,0.6839178785286569,0.020530367835757058
19390,0.01633674295385974,0.029214806093163587,0.019059533446169695,0.9205975421296637,0.014129074987121936
82443,0.002995293110825845,0.0025673940949935813,0.004278990158322636,0.9668378262729995,0.0036371416345742404
82442,0.0,0.0,0.04619565217391304,0.9524456521739131,0.0
82441,0.0,0.007905138339920948,0.03162055335968379,0.9565217391304348,0.0
82440,0.0,0.0,0.0859375,0.90625,0.0
46135,0.017407657440447488,0.07093258752049378,0.012537371009740573,0.8879351914360112,0.004532741826598515
46133,0.0020161290322580645,0.0,0.0,0.9959677419354839,0.0
46131,0.006221139045664443,0.01789379168804515,0.008209338122113904,0.9459017444843509,0.01629040533606978
46130,0.0,0.0017398869073510222,0.006089604175728578,0.9917355371900827,0.0
19973,0.013333333333333334,0.24795698924731183,0.023526881720430107,0.6911397849462365,0.021849462365591397
19971,0.026881267380129772,0.048369427825061095,0.012303025195921463,0.8974467009353669,0.013061430858683745
19970,0.01120406334030475,0.010606513295488498,0.026441589483119213,0.9487600836570063,0.0
19977,0.015733845784290174,0.2826887661141805,0.016894867483385378,0.6645447994234926,0.009087997437745216
19975,0.010155880963627776,0.06069910250354275,0.023145961265942372,0.9005668398677373,0.005314123760037789
19979,0.003125,0.134375,0.04375,0.8171875,0.0
16701,0.006658460161145926,0.0060989256938227395,0.010351387645478962,0.973310205908684,0.0018464637421665175
88023,0.0,0.0,0.005549389567147614,0.7843137254901961,0.1994080651128376
88022,0.008532423208191127,0.0,0.0,0.7866894197952219,0.2030716723549488
88021,0.0011131725417439704,0.0013782136231115824,0.003975616220514179,0.9169361250993904,0.07521865889212828
88020,0.0,0.0,0.0,0.9824,0.016
88027,0.0,0.0,0.0,0.9655172413793104,0.03218390804597701
12018,0.010606060606060607,0.010858585858585859,0.016792929292929294,0.9616161616161616,0.0
88025,0.0,0.0,0.0,0.9970059880239521,0.0
88024,0.0,0.0,0.0,0.9969418960244648,0.0
12015,0.011827956989247311,0.02078853046594982,0.008602150537634409,0.956989247311828,0.0014336917562724014
12017,0.0,0.0,0.0,0.996996996996997,0.0
88028,0.0,0.0,0.05791505791505792,0.9401544401544402,0.0
12010,0.00532374598126318,0.029902858920731495,0.03187333632938086,0.8578144985653542,0.07214712897984582
94080,0.3852703664984925,0.023392876081390238,0.05405814887202097,0.380876626819993,0.13025165522779267
